,Unnamed: 0,CO,Benzene,NO2,Temperature,Humidity(%),DateTime
6527,9209,2.5,11.7,136,18.0,57.9,2005-03-29 13:00:00
6528,6947,2.4,9.7,159,12.1,61.8,2004-12-25 15:00:00
6529,8393,1.5,4.6,167,4.2,77.9,2005-02-23 23:00:00
6530,4906,1.3,6.9,69,19.0,70.8,2004-10-01 02:00:00
6531,8636,2.3,8.7,185,7.0,48.1,2005-03-05 09:00:00
6533,3750,0.4,1.8,27,25.2,55.0,2004-08-14 04:00:00
6535,1796,1.2,6.7,96,19.1,22.8,2004-05-24 20:00:00
6536,7617,0.1,7.0,133,15.8,33.8,2005-01-22 15:00:00
6537,6192,6.6,31.5,183,10.7,76.2,2004-11-23 10:00:00
6538,8372,2.0,9.1,208,11.4,48.9,2005-02-22 12:00:00
6539,1065,1.1,3.0,54,12.9,79.7,2004-04-24 22:00:00
6540,8646,0.5,0.6,32,5.8,59.4,2005-03-06 06:00:00
6542,735,2.0,8.7,111,18.3,31.6,2004-04-10 18:00:00
6543,8871,2.2,10.0,142,22.2,25.5,2005-03-15 14:00:00
6544,8188,2.3,11.4,176,9.4,44.9,2005-02-14 08:00:00
6546,3816,1.3,6.8,77,31.7,28.2,2004-08-16 19:00:00
6548,5506,1.4,8.6,54,15.7,77.0,2004-10-26 06:00:00
6549,741,2.0,8.2,115,13.2,50.3,2004-04-10 21:00:00
6552,7500,1.4,3.8,133,6.4,44.2,2005-01-17 00:00:00
6555,6449,2.3,8.3,120,12.7,84.4,2004-12-04 17:00:00
6556,805,1.6,7.3,93,12.6,50.8,2004-04-13 10:00:00
6558,6663,2.0,10.9,120,10.1,66.2,2004-12-13 22:00:00
6559,733,1.7,7.4,104,21.1,24.5,2004-04-10 17:00:00
6560,9118,3.9,16.7,155,18.2,61.0,2005-03-25 21:00:00
6562,7725,0.3,4.2,133,5.7,43.1,2005-01-26 16:00:00
6564,8545,1.9,6.1,143,0.6,36.8,2005-03-01 09:00:00
6566,1229,5.7,26.9,135,19.8,58.6,2004-04-30 19:00:00
6569,7743,1.4,3.6,128,4.3,41.1,2005-01-27 22:00:00
6570,1514,4.1,23.6,95,15.5,62.2,2004-05-12 07:00:00
6571,7367,3.6,19.7,146,13.2,61.8,2005-01-11 19:00:00
6573,1319,1.9,9.9,88,16.0,80.8,2004-05-04 06:00:00
6574,4785,0.9,4.5,55,12.5,63.2,2004-09-26 05:00:00
6575,2228,3.2,19.1,146,34.2,14.2,2004-06-11 18:00:00
6576,1340,2.6,13.0,120,17.2,62.9,2004-05-05 11:00:00
6579,1360,1.8,8.9,75,15.1,54.5,2004-05-06 13:00:00
6580,2738,2.8,15.6,158,33.6,28.7,2004-07-02 10:00:00
6581,6862,2.5,10.7,145,7.9,38.6,2004-12-21 17:00:00
6582,8682,1.4,3.2,141,5.6,45.5,2005-03-07 00:00:00
6583,7970,1.4,7.3,205,1.3,67.2,2005-02-05 07:00:00
6587,6532,3.5,21.6,141,17.4,53.3,2004-12-07 12:00:00
6589,2320,2.0,12.2,112,35.3,19.6,2004-06-15 14:00:00
6591,6084,1.1,2.1,41,14.7,64.4,2004-11-19 04:00:00
6592,4486,2.9,16.3,138,30.0,41.6,2004-09-13 11:00:00
6593,1944,0.9,7.7,90,29.2,19.6,2004-05-30 18:00:00
6594,7349,2.6,21.0,137,12.8,71.8,2005-01-10 08:00:00
6595,2367,1.7,9.5,102,30.9,30.3,2004-06-17 16:00:00
6596,8121,1.4,7.3,156,4.6,67.6,2005-02-12 06:00:00
6597,2822,1.8,11.3,132,39.9,15.8,2004-07-06 14:00:00
6598,8233,3.3,13.4,260,7.8,37.6,2005-02-16 09:00:00
6599,1253,3.5,15.2,110,17.8,66.8,2004-05-01 00:00:00
6600,1893,2.0,11.3,109,19.6,47.0,2004-05-28 23:00:00
6601,3010,1.1,6.7,69,23.0,33.8,2004-07-14 01:00:00
6603,1248,2.8,10.8,112,19.0,51.7,2004-05-01 20:00:00
6604,2281,0.5,3.1,39,24.4,48.3,2004-06-13 04:00:00
6605,8973,2.1,8.7,153,21.7,35.1,2005-03-19 16:00:00
6607,2564,1.9,8.0,113,29.9,33.2,2004-06-25 10:00:00
6608,7005,2.1,7.5,123,12.4,64.7,2004-12-27 21:00:00
6609,1291,1.3,8.2,80,16.0,65.8,2004-05-03 06:00:00
6610,3440,0.5,3.5,33,39.2,20.2,2004-08-01 13:00:00
6613,886,4.7,17.7,140,14.6,74.9,2004-04-16 16:00:00
6614,1746,2.2,12.9,104,27.2,28.1,2004-05-22 12:00:00
6615,2716,4.4,22.9,179,32.5,30.9,2004-07-01 19:00:00
6616,8136,4.6,23.0,248,11.0,53.6,2005-02-12 18:00:00
6617,7511,3.8,15.1,208,8.2,40.5,2005-01-17 11:00:00
6618,6930,3.9,14.6,174,5.1,59.0,2004-12-24 01:00:00
6619,3646,1.4,9.8,39,31.8,38.9,2004-08-09 10:00:00
6620,7877,4.8,22.1,198,3.7,61.7,2005-02-01 09:00:00
6623,1960,1.4,13.1,120,30.3,22.8,2004-05-31 12:00:00
6624,4034,2.2,12.1,93,30.2,43.2,2004-08-25 10:00:00
6625,2548,4.1,20.5,126,24.6,45.3,2004-06-24 23:00:00
6627,7805,1.4,3.4,125,2.8,49.0,2005-01-29 20:00:00
6628,4189,2.0,11.3,80,31.3,29.1,2004-09-01 13:00:00
6629,7874,3.7,20.0,187,3.1,64.0,2005-02-01 08:00:00
6630,4890,2.2,15.1,113,25.6,43.4,2004-09-30 14:00:00
6631,6342,0.6,1.4,38,13.6,75.5,2004-11-30 05:00:00
6632,2316,1.0,7.5,69,19.9,51.8,2004-06-15 06:00:00
6633,8135,3.8,17.5,216,11.0,51.4,2005-02-12 14:00:00
6634,8179,0.7,2.9,81,6.9,70.0,2005-02-14 06:00:00
6636,7683,2.0,9.7,203,6.9,52.8,2005-01-24 09:00:00
6639,8143,1.0,4.4,90,19.4,32.4,2005-02-13 16:00:00
6640,2899,1.8,9.4,130,30.5,24.7,2004-07-09 10:00:00
6641,6597,1.8,7.2,122,14.4,30.2,2004-12-10 10:00:00
6642,7428,1.8,6.4,98,7.1,73.9,2005-01-14 01:00:00
6643,6528,3.4,16.8,114,12.5,65.8,2004-12-07 09:00:00
6644,1056,4.6,25.8,186,29.5,20.1,2004-04-23 16:00:00
6647,6409,4.9,24.8,151,16.7,67.3,2004-12-02 17:00:00
6648,2979,3.4,15.4,128,23.6,35.7,2004-07-12 19:00:00
6652,1492,5.5,31.0,120,14.5,59.8,2004-05-11 08:00:00
6654,8740,5.9,24.4,199,11.5,53.9,2005-03-09 20:00:00
6656,8796,0.1,3.3,88,10.6,66.1,2005-03-12 08:00:00
6657,1633,3.0,12.7,122,22.0,24.0,2004-05-17 20:00:00
6658,8476,2.8,8.8,161,4.7,69.0,2005-02-26 00:00:00
6659,1962,0.8,7.5,69,19.3,68.8,2004-05-31 21:00:00
6660,6800,1.0,3.0,79,3.3,53.5,2004-12-19 05:00:00
6662,9121,3.2,17.4,146,14.8,73.6,2005-03-25 08:00:00
6663,1046,2.2,13.0,108,19.2,44.9,2004-04-23 22:00:00
6665,3108,0.7,4.1,62,20.2,48.5,2004-07-18 06:00:00
6667,3620,1.0,4.2,49,29.5,45.9,2004-08-08 10:00:00
6668,3456,1.8,9.8,70,25.7,50.7,2004-08-01 01:00:00
6671,1108,2.8,13.0,93,14.8,39.5,2004-04-25 22:00:00
6672,4397,5.4,32.3,220,35.2,16.6,2004-09-09 18:00:00
6674,7260,1.4,3.6,89,9.8,70.7,2005-01-07 01:00:00
6676,8199,1.0,3.1,102,8.7,31.2,2005-02-15 00:00:00
6680,3786,0.5,3.0,34,25.7,52.5,2004-08-15 01:00:00
6682,6234,2.5,13.4,136,16.8,37.6,2004-11-25 15:00:00
6684,7493,3.8,13.6,165,5.2,67.8,2005-01-16 00:00:00
6685,4527,1.8,10.3,74,22.1,67.3,2004-09-15 22:00:00
6687,6025,3.5,15.5,219,17.5,26.4,2004-11-16 11:00:00
6688,7742,1.0,3.0,104,6.6,40.2,2005-01-27 12:00:00
6689,2848,2.1,14.3,99,26.9,32.6,2004-07-07 00:00:00
6691,3809,1.4,7.3,77,37.4,14.7,2004-08-16 12:00:00
6692,2168,0.5,4.0,58,20.3,56.0,2004-06-09 05:00:00
6694,6966,0.3,0.7,46,10.9,80.3,2004-12-26 06:00:00
6695,8269,1.2,3.3,105,6.9,48.7,2005-02-18 00:00:00
6697,9031,0.6,1.6,66,10.6,70.8,2005-03-22 05:00:00
6698,8467,2.8,4.2,126,6.4,61.7,2005-02-26 18:00:00
6700,8274,1.7,6.7,134,11.3,31.7,2005-02-18 15:00:00
6701,5404,4.4,28.7,118,25.9,55.8,2004-10-21 18:00:00
6704,6129,0.2,4.9,116,1.3,65.3,2004-11-21 08:00:00
6705,8583,2.1,8.8,186,7.3,39.4,2005-03-03 10:00:00
6706,5870,1.3,4.4,150,6.8,87.1,2004-11-10 11:00:00
6707,7584,3.4,14.4,162,7.0,56.3,2005-01-20 08:00:00
6708,5074,1.2,6.5,53,20.3,62.5,2004-10-08 01:00:00
6709,8540,1.0,3.1,102,3.2,30.8,2005-03-01 14:00:00
6710,8980,2.7,12.4,183,16.2,53.0,2005-03-19 19:00:00
6711,8706,1.5,5.3,154,2.5,52.1,2005-03-08 01:00:00
6712,8428,4.0,17.7,260,6.1,75.8,2005-02-24 19:00:00
6714,5891,1.1,6.1,89,8.3,77.2,2004-11-11 06:00:00
6715,8320,1.1,2.9,119,7.1,62.6,2005-02-20 19:00:00
6717,1558,3.0,14.9,126,27.6,22.3,2004-05-14 17:00:00
6718,6246,1.0,4.6,75,9.1,77.3,2004-11-26 06:00:00
6720,2259,1.8,11.2,89,26.1,42.2,2004-06-12 21:00:00
6722,6569,1.4,5.3,99,15.2,50.1,2004-12-09 15:00:00
6723,7913,2.1,11.4,174,14.9,34.9,2005-02-03 15:00:00
6724,788,1.2,3.7,82,10.6,57.7,2004-04-12 20:00:00
6725,9101,7.5,35.5,232,18.8,49.1,2005-03-24 20:00:00
6728,3675,2.6,14.5,90,33.6,35.7,2004-08-10 10:00:00
6730,8481,1.5,3.1,155,4.6,46.8,2005-02-27 21:00:00
6732,2648,0.5,3.0,54,25.9,45.1,2004-06-29 05:00:00
6733,1661,6.5,38.9,139,18.8,39.7,2004-05-18 08:00:00
6736,2532,1.3,6.1,65,35.3,23.7,2004-06-24 15:00:00
6737,5614,3.2,16.4,135,23.5,58.3,2004-10-30 15:00:00
6739,9046,2.2,13.5,116,11.8,66.3,2005-03-22 08:00:00
6741,2171,1.0,8.1,69,20.5,54.8,2004-06-09 06:00:00
6743,8495,3.3,5.3,145,4.6,64.4,2005-02-27 02:00:00
6745,7210,1.7,6.8,109,7.6,72.7,2005-01-05 05:00:00
6746,5779,2.8,14.5,87,14.6,74.2,2004-11-06 08:00:00
6747,1082,3.0,15.6,105,20.0,45.0,2004-04-24 09:00:00
6748,1971,3.0,21.4,159,26.9,32.2,2004-05-31 17:00:00
6749,7875,4.5,19.8,227,7.3,50.8,2005-02-01 12:00:00
6750,6057,2.0,5.6,119,8.5,65.0,2004-11-18 02:00:00
6751,7794,1.1,2.4,102,3.6,45.8,2005-01-29 12:00:00
6752,1736,0.5,4.6,66,16.5,53.5,2004-05-22 06:00:00
6757,7870,4.2,18.8,179,11.8,44.4,2005-02-01 14:00:00
6761,3228,1.4,8.6,79,30.1,33.9,2004-07-23 21:00:00
6762,8669,2.4,9.2,170,6.8,72.1,2005-03-06 00:00:00
6766,7552,0.2,4.3,110,9.2,55.0,2005-01-19 16:00:00
6768,6235,2.6,11.4,129,10.7,59.8,2004-11-25 21:00:00
6769,4877,6.3,34.1,201,23.2,36.9,2004-09-29 19:00:00
6770,1125,1.5,6.4,81,20.0,32.7,2004-04-26 16:00:00
6771,8151,1.2,4.9,107,18.7,48.0,2005-02-13 13:00:00
6772,5533,1.2,5.7,67,17.4,81.3,2004-10-27 01:00:00
6773,4565,4.2,23.4,86,19.9,74.3,2004-09-16 07:00:00
6774,8718,0.8,2.5,90,3.8,56.8,2005-03-09 04:00:00
6776,3269,2.3,13.1,116,32.7,34.5,2004-07-24 10:00:00
6777,649,2.9,14.1,107,19.6,41.8,2004-04-06 10:00:00
6778,4658,5.6,31.1,200,30.5,29.2,2004-09-20 18:00:00
6779,3249,0.8,5.5,61,24.6,52.2,2004-07-24 05:00:00
6780,3579,2.9,16.3,97,24.5,66.2,2004-08-06 09:00:00
6783,6096,5.9,22.7,191,15.2,62.2,2004-11-19 09:00:00
6785,548,3.0,14.1,146,18.5,43.0,2004-04-02 21:00:00
6786,8374,2.4,10.2,206,5.8,72.5,2005-02-22 18:00:00
6787,1888,1.7,12.2,117,28.0,23.2,2004-05-28 16:00:00
6788,6159,2.7,25.4,239,6.8,49.8,2004-11-22 11:00:00
6790,4390,3.0,18.2,136,19.7,37.5,2004-09-09 07:00:00
6791,1956,0.5,6.5,60,16.6,52.1,2004-05-31 06:00:00
6792,3795,1.2,6.3,70,35.8,25.7,2004-08-15 11:00:00
6793,6017,1.8,6.1,134,10.2,49.4,2004-11-16 23:00:00
6794,2328,3.1,16.7,148,30.8,28.7,2004-06-15 18:00:00
6796,3665,1.5,9.2,86,39.0,23.7,2004-08-10 12:00:00
6798,778,0.4,0.7,49,13.9,43.6,2004-04-12 06:00:00
6799,3709,1.0,5.0,56,35.9,32.1,2004-08-12 14:00:00
6800,6383,4.0,19.3,163,13.6,65.6,2004-12-01 13:00:00
6801,526,2.8,11.7,113,19.2,39.6,2004-04-01 10:00:00
6804,6792,2.1,7.0,121,12.9,72.1,2004-12-18 00:00:00
6805,6086,1.9,5.6,110,16.1,59.5,2004-11-19 01:00:00
6809,1970,2.2,16.3,137,20.9,43.6,2004-05-31 09:00:00
6812,2600,0.6,2.8,44,23.5,51.2,2004-06-27 06:00:00
6814,6097,4.8,20.5,194,14.7,63.1,2004-11-19 08:00:00
6817,8885,7.4,33.5,248,16.4,41.9,2005-03-15 20:00:00
6821,5480,0.9,4.4,44,16.5,75.5,2004-10-25 02:00:00
6822,6196,10.2,49.5,227,13.2,72.6,2004-11-23 18:00:00
6824,5200,1.2,5.3,72,16.5,49.9,2004-10-13 10:00:00
6825,883,3.4,12.5,117,13.5,79.4,2004-04-16 21:00:00
6826,2179,2.8,18.0,167,39.5,18.3,2004-06-09 13:00:00
6827,8538,1.1,2.5,110,0.3,31.9,2005-03-01 23:00:00
6829,1758,0.3,2.1,37,17.7,56.0,2004-05-23 05:00:00
6830,1572,1.2,5.7,81,18.0,40.5,2004-05-15 01:00:00
6831,6424,3.2,13.1,102,14.1,81.4,2004-12-03 00:00:00
6834,8654,0.7,1.5,79,7.3,48.7,2005-03-06 09:00:00
6835,6649,3.2,13.7,156,15.1,37.4,2004-12-12 13:00:00
6838,8759,2.3,10.6,161,17.4,33.2,2005-03-10 12:00:00
6839,8937,0.9,3.2,117,8.9,63.5,2005-03-18 03:00:00
6840,5889,1.1,5.4,74,7.6,81.2,2004-11-11 04:00:00
6841,3673,2.2,12.7,95,36.5,28.9,2004-08-10 11:00:00
6842,3277,0.7,2.5,44,29.8,38.6,2004-07-25 14:00:00
6845,8444,2.8,12.1,177,10.2,43.1,2005-02-25 18:00:00
6847,6155,0.3,5.0,116,5.6,48.0,2004-11-22 00:00:00
6848,4660,6.5,34.9,225,28.1,32.4,2004-09-20 19:00:00
6849,8763,5.4,23.8,245,12.8,22.8,2005-03-10 20:00:00
6851,8782,1.7,12.3,180,19.3,29.9,2005-03-11 15:00:00
6852,6881,1.9,8.5,128,10.3,32.6,2004-12-22 13:00:00
6853,5576,0.8,2.9,50,18.2,74.7,2004-10-29 01:00:00
6855,5948,2.1,9.0,128,19.2,49.6,2004-11-13 17:00:00
6856,1705,3.5,21.7,148,31.2,20.3,2004-05-20 17:00:00
6857,8678,1.3,4.4,155,10.6,25.3,2005-03-07 12:00:00
6858,8471,2.1,6.8,145,4.0,69.8,2005-02-26 01:00:00
6861,8748,1.4,4.9,151,8.3,38.2,2005-03-10 23:00:00
6862,5622,0.4,1.2,31,18.1,79.0,2004-10-31 06:00:00
6863,9109,1.6,9.5,117,20.4,50.5,2005-03-25 11:00:00
6864,8463,2.9,4.5,118,9.8,44.1,2005-02-26 14:00:00
6865,7851,6.1,27.4,270,10.4,24.7,2005-01-31 18:00:00
6866,3763,1.0,4.0,57,35.0,29.0,2004-08-14 11:00:00
6867,1088,0.5,1.1,37,12.8,49.3,2004-04-25 06:00:00
6869,3775,0.4,2.6,14,36.3,18.4,2004-08-15 14:00:00
6870,8194,0.8,2.2,76,8.5,30.4,2005-02-15 01:00:00
6871,1200,4.4,23.1,138,21.7,44.0,2004-04-29 15:00:00
6873,2608,1.0,6.2,60,24.7,47.6,2004-06-27 08:00:00
6874,3767,0.9,5.1,56,35.2,32.1,2004-08-14 18:00:00
6875,7815,0.9,1.6,95,8.2,30.1,2005-01-30 14:00:00
6876,4194,1.9,9.5,96,23.7,55.4,2004-09-01 00:00:00
6879,4758,0.3,0.9,14,15.4,53.7,2004-09-25 05:00:00
6880,3245,3.8,25.5,120,26.6,42.8,2004-07-23 08:00:00
6882,4554,2.1,11.7,127,23.3,47.1,2004-09-16 13:00:00
6883,5145,0.6,3.4,44,18.2,76.9,2004-10-11 05:00:00
6884,7322,2.6,11.6,153,14.7,56.6,2005-01-09 20:00:00
6886,1747,2.1,11.0,96,23.7,40.0,2004-05-22 10:00:00
6887,1745,2.0,12.6,84,27.9,28.1,2004-05-22 13:00:00
6888,6557,3.5,14.0,127,14.6,72.1,2004-12-08 20:00:00
6889,5465,1.4,7.8,59,19.1,70.0,2004-10-24 09:00:00
6890,5978,0.7,1.8,63,8.2,57.9,2004-11-14 17:00:00
6891,5137,2.2,8.3,87,21.1,68.3,2004-10-10 19:00:00
6892,6198,1.0,3.4,66,10.5,77.8,2004-11-24 05:00:00
6893,6026,3.2,15.8,171,13.4,40.4,2004-11-16 20:00:00
6895,6883,2.8,9.0,147,9.6,29.6,2004-12-22 16:00:00
6897,692,2.6,14.2,125,20.4,26.7,2004-04-08 13:00:00
6898,908,1.9,6.4,83,12.7,81.2,2004-04-17 02:00:00
6902,1079,2.6,14.4,114,26.8,29.5,2004-04-24 11:00:00
6904,4920,3.7,21.1,134,23.5,56.2,2004-10-01 12:00:00
6905,6403,3.9,19.0,136,19.2,57.9,2004-12-02 15:00:00
6906,1524,1.6,6.5,96,16.2,50.2,2004-05-13 00:00:00
6907,3112,1.1,5.5,64,24.3,38.1,2004-07-18 02:00:00
6909,7963,1.6,6.2,174,6.4,36.8,2005-02-05 19:00:00
6910,7873,4.1,17.2,196,4.4,58.8,2005-02-01 10:00:00
6911,5574,0.6,2.5,43,18.4,73.8,2004-10-29 02:00:00
6912,7789,0.5,0.9,58,1.6,51.0,2005-01-29 07:00:00
6913,6530,3.0,18.0,118,18.8,49.3,2004-12-07 13:00:00
6914,7974,0.7,1.5,88,0.6,53.3,2005-02-06 07:00:00
6916,5976,0.8,1.8,58,11.4,54.6,2004-11-14 01:00:00
6917,2588,1.5,6.7,78,32.3,30.4,2004-06-26 18:00:00
6918,5128,1.2,6.3,59,21.3,69.1,2004-10-10 06:00:00
6920,1766,0.9,4.5,53,26.7,28.1,2004-05-23 11:00:00
6921,6092,3.6,15.2,188,17.3,55.4,2004-11-19 13:00:00
6925,8902,3.5,17.5,193,24.1,20.6,2005-03-16 18:00:00
6926,627,3.9,18.0,121,18.8,47.5,2004-04-05 19:00:00
6928,2327,2.8,15.7,118,32.8,23.3,2004-06-15 12:00:00
6931,5482,1.4,7.2,56,16.9,75.4,2004-10-25 01:00:00
6932,3099,2.2,12.9,138,30.9,26.9,2004-07-17 10:00:00
6933,6354,2.2,10.1,109,15.3,54.3,2004-11-30 15:00:00
6935,7480,1.5,4.3,157,7.7,39.0,2005-01-16 21:00:00
6937,6322,1.4,5.7,78,8.7,84.2,2004-11-29 06:00:00
6938,4869,4.0,21.6,188,27.2,26.3,2004-09-29 17:00:00
6939,7840,2.7,11.7,194,13.2,17.3,2005-01-31 14:00:00
6940,4752,3.7,22.3,143,26.2,46.0,2004-09-24 12:00:00
6941,4822,2.4,11.3,128,18.1,39.9,2004-09-27 21:00:00
6945,2317,2.0,10.1,101,23.9,40.9,2004-06-15 22:00:00
6947,2353,3.5,17.2,139,26.5,35.0,2004-06-16 20:00:00
6948,6299,1.0,2.6,74,8.6,77.2,2004-11-28 08:00:00
6951,7112,1.2,4.7,97,4.7,57.2,2005-01-01 10:00:00
6952,9210,2.4,12.1,134,18.1,58.3,2005-03-29 12:00:00
6953,4873,4.2,28.0,122,15.1,59.0,2004-09-29 08:00:00
6954,1704,4.1,23.7,168,27.7,24.8,2004-05-20 18:00:00
6956,5517,4.0,23.6,157,24.6,47.1,2004-10-26 13:00:00
6958,5813,2.0,8.4,87,17.5,60.7,2004-11-07 01:00:00
6962,7831,0.4,0.3,37,3.4,38.9,2005-01-31 05:00:00
6963,3235,1.7,11.0,86,29.0,36.6,2004-07-23 22:00:00
6964,8192,0.6,1.3,56,8.0,32.9,2005-02-15 02:00:00
6966,8627,1.5,5.9,132,13.5,28.3,2005-03-05 15:00:00
6967,6300,1.0,3.1,55,10.3,74.9,2004-11-28 04:00:00
6969,5631,1.5,7.5,62,22.9,65.7,2004-10-31 14:00:00
6970,2279,0.8,3.0,59,21.7,42.7,2004-06-13 17:00:00
6971,6835,2.5,4.5,105,9.6,53.9,2004-12-20 12:00:00
6972,2113,1.3,6.6,88,23.7,36.8,2004-06-06 19:00:00
6976,7275,3.8,16.5,180,13.3,56.2,2005-01-07 16:00:00
6979,8446,2.5,8.1,202,5.3,84.1,2005-02-25 00:00:00
6981,9167,1.9,6.0,115,14.1,81.4,2005-03-27 21:00:00
6982,2524,4.4,24.2,166,30.2,29.0,2004-06-23 19:00:00
6983,2657,2.6,14.3,120,31.9,38.4,2004-06-29 20:00:00
6984,3610,0.6,2.6,30,31.6,38.9,2004-08-08 14:00:00
6987,1202,5.4,28.6,145,20.2,48.6,2004-04-29 18:00:00
6988,4637,4.4,20.4,188,27.5,38.1,2004-09-19 19:00:00
6989,1715,0.7,7.0,62,14.9,54.7,2004-05-21 06:00:00
6990,544,3.0,16.1,130,23.6,31.3,2004-04-02 13:00:00
6991,6471,1.0,3.1,66,12.9,64.7,2004-12-05 10:00:00
6992,1671,2.0,9.3,118,20.8,41.8,2004-05-19 21:00:00
6993,1959,0.6,6.5,59,17.8,80.3,2004-05-31 23:00:00
6994,9029,6.1,31.0,174,14.7,59.8,2005-03-21 09:00:00
6996,2594,1.9,9.2,98,30.5,33.9,2004-06-26 19:00:00
6997,6079,2.6,4.0,110,12.8,14.8,2004-11-19 23:00:00
6998,9144,2.2,10.7,112,24.3,38.4,2005-03-26 17:00:00
7001,7572,1.0,2.7,104,7.5,55.3,2005-01-20 07:00:00
7002,4685,7.3,41.2,148,19.6,60.7,2004-09-21 08:00:00
7004,2589,1.4,7.0,83,28.4,39.1,2004-06-26 21:00:00
7005,5512,3.0,18.7,82,16.2,75.9,2004-10-26 07:00:00
7006,7464,3.1,15.6,179,8.9,60.8,2005-01-15 13:00:00
7007,1938,0.4,3.7,64,25.5,25.9,2004-05-30 10:00:00
7009,3642,1.2,6.5,57,25.8,60.4,2004-08-09 00:00:00
7010,3672,1.7,10.2,64,29.5,50.6,2004-08-10 22:00:00
7011,3722,1.6,8.5,67,27.8,57.4,2004-08-12 23:00:00
7012,2638,2.0,13.1,129,40.4,20.0,2004-06-28 15:00:00
7013,1190,2.1,10.9,118,23.8,30.2,2004-04-29 10:00:00
7014,8184,4.2,17.4,212,10.7,19.9,2005-02-14 19:00:00
7015,2420,0.6,4.3,62,23.8,47.3,2004-06-19 02:00:00
7016,3695,1.7,10.1,69,33.8,34.5,2004-08-11 19:00:00
7018,2381,4.8,27.7,125,21.9,49.9,2004-06-17 08:00:00
7019,3045,2.8,14.7,140,26.7,28.9,2004-07-15 21:00:00
7020,6462,0.6,1.5,60,12.5,65.9,2004-12-05 06:00:00
7021,4207,0.6,4.0,65,21.8,54.1,2004-09-02 04:00:00
7022,1529,2.4,11.1,98,18.2,49.6,2004-05-13 13:00:00
7023,7133,4.7,16.6,191,9.0,51.8,2005-01-01 18:00:00
7024,2474,3.0,16.1,138,26.1,28.3,2004-06-21 19:00:00
7025,6015,2.6,10.7,189,17.2,22.4,2004-11-16 12:00:00
7026,7708,1.0,5.8,142,4.3,56.7,2005-01-25 19:00:00
7027,6366,0.6,2.5,63,8.3,80.4,2004-12-01 05:00:00
7028,2372,1.9,10.0,125,28.0,36.6,2004-06-17 10:00:00
7029,2962,1.3,5.2,85,21.3,38.7,2004-07-12 22:00:00
7031,7618,0.7,12.6,175,11.3,25.7,2005-01-22 20:00:00
7032,762,1.1,2.9,74,14.5,39.0,2004-04-11 22:00:00
7034,2378,3.6,19.4,133,30.7,31.4,2004-06-17 18:00:00
7035,5426,5.5,27.7,137,26.9,48.6,2004-10-22 16:00:00
7036,3477,0.3,10.7,98,28.0,46.2,2004-08-02 22:00:00
7038,6559,0.4,0.7,30,14.8,65.5,2004-12-09 04:00:00
7039,6677,9.9,50.8,269,12.6,55.9,2004-12-13 18:00:00
7040,6375,1.8,7.1,107,11.1,84.3,2004-12-01 22:00:00
7041,1069,1.8,9.0,87,16.3,55.3,2004-04-24 02:00:00
7042,8645,3.2,10.2,199,7.2,69.5,2005-03-05 21:00:00
7044,6447,2.5,7.1,107,12.3,87.0,2004-12-04 16:00:00
7046,6163,3.1,21.8,239,8.3,49.3,2004-11-22 15:00:00
7047,2110,1.0,5.2,62,17.1,81.8,2004-06-06 04:00:00
7048,6640,2.6,10.4,117,6.8,57.8,2004-12-12 02:00:00
7049,8166,0.7,2.2,104,9.0,37.3,2005-02-14 07:00:00
7050,9237,1.9,9.6,130,23.6,34.8,2005-03-30 12:00:00
7051,7415,3.9,15.7,158,9.7,70.1,2005-01-13 10:00:00
7052,3608,0.6,2.4,29,23.8,61.3,2004-08-08 05:00:00
7054,5116,3.8,21.7,109,27.0,51.2,2004-10-09 18:00:00
7058,5535,2.0,9.2,80,17.6,80.5,2004-10-27 00:00:00
7060,820,5.0,21.7,144,14.7,47.0,2004-04-13 19:00:00
7062,4583,2.1,10.7,88,23.4,40.4,2004-09-17 13:00:00
7063,9116,2.1,15.8,163,21.1,47.8,2005-03-25 14:00:00
7064,7357,1.8,7.7,116,12.0,71.9,2005-01-11 00:00:00
7067,7610,5.7,29.0,179,7.9,60.0,2005-01-21 09:00:00
7069,4342,2.1,10.2,64,27.3,38.3,2004-09-07 09:00:00
7070,5818,0.7,1.7,42,11.1,55.6,2004-11-08 02:00:00
7071,6701,5.1,27.2,186,16.8,48.4,2004-12-14 16:00:00
7072,8760,4.2,14.6,229,11.5,35.9,2005-03-10 21:00:00
7073,5396,3.0,17.7,102,26.5,52.2,2004-10-21 16:00:00
7074,6421,3.0,12.7,107,14.0,75.7,2004-12-03 22:00:00
7075,1392,2.3,8.2,102,13.8,64.7,2004-05-07 00:00:00
7076,7246,1.6,7.3,127,12.0,67.5,2005-01-06 22:00:00
7079,6356,4.1,12.4,160,10.7,73.9,2004-11-30 21:00:00
7080,618,3.1,13.6,116,17.9,49.4,2004-04-05 20:00:00
7081,4480,2.3,14.9,128,35.2,25.2,2004-09-13 16:00:00
7082,7431,2.7,8.8,112,7.6,73.0,2005-01-14 00:00:00
7084,8462,1.4,3.6,116,9.6,43.5,2005-02-26 11:00:00
7085,761,1.1,3.4,78,15.6,37.5,2004-04-11 20:00:00
7086,2735,1.9,12.0,120,36.9,23.3,2004-07-02 13:00:00
7087,4802,2.3,10.0,114,17.1,47.6,2004-09-26 23:00:00
